Complexity,Loss,Equation
1,781.2545,30.597418
3,721.71844,(36.094406 * x1)
4,226.56938,inv(x0 * 0.1634222)
6,97.95126,inv((0.07115362 + x0) * 0.07793917)
8,83.32828,(inv((0.07895783 + x0) * 0.06889039) * x1)
10,82.26404,((inv((0.064022064 + x0) * 0.07919329) * x1) + 2.6476386)
11,72.5276,(inv(x0) * ((inv(x0) * (x1 + -1.2475027)) + 11.340886))
13,69.312325,(inv(x0) * ((inv(x0 + 0.023667056) * (x1 + -1.4421545)) + 12.022487))
15,69.10832,(inv(x0) * (((inv(x0 + 0.021416046) + x0) * (x1 + -1.4263648)) + 12.052631))
16,68.84254,(inv(x0) * (((inv(x0 + 0.0249121) + inv(1.4888679)) * (x1 + -1.4258672)) + 12.052669))
17,68.38091,((inv(x0) * (((inv(x0 + 0.0249121) + 0.7901054) * (x1 + -1.4258672)) + 12.052669)) + x1)
